,ACL,MCL,Medial Meniscus,Lateral Meniscus,Medial OA,Lateral OA,PF OA,Effusion,Synovitis,Baker's,Contusion,Fracture
ACL,1.0,0.1233580074024676,0.1577744263429379,-0.037015041033293214,-0.25638228126180407,-0.04926739814413069,-0.26875600982680947,0.25170227902639425,-0.08228129235303942,-0.08343982964941767,0.3832322780120727,0.2687545915907099
MCL,0.1233580074024676,1.0,-0.19480542605528875,0.041958772431561986,-0.2531247528079792,-0.08586561610702495,-0.22379042008756428,-0.04195877243156201,-0.11357089989904662,-0.2188945364808211,0.10670909490621276,0.12422599874998827
Medial Meniscus,0.1577744263429379,-0.19480542605528875,1.0,0.11974750470445361,0.417714841404845,0.006098921683993319,0.04228698722053027,0.23460735615566433,0.20131905799006772,0.30987610805148735,-0.038207664146107045,0.06976953820642973
Lateral Meniscus,-0.037015041033293214,0.041958772431561986,0.11974750470445361,1.0,0.4066210175743129,0.4169740887676998,0.12264879471062519,0.15279503105590064,0.16202833595671196,0.28202679381817963,-0.19033133359061688,-0.01050813874985468
Medial OA,-0.25638228126180407,-0.2531247528079792,0.417714841404845,0.4066210175743129,1.0,0.3169027156781311,0.37433075243230474,0.07632817736036593,0.2381746097911157,0.475958342957643,-0.3283499056915329,-0.22598239929024325
Lateral OA,-0.04926739814413069,-0.08586561610702495,0.006098921683993319,0.4169740887676998,0.3169027156781311,1.0,0.2761100837789847,0.21236226825715557,0.34203812542066186,0.4043327696920888,-0.24396221723237466,-0.13440094818164608
PF OA,-0.26875600982680947,-0.22379042008756428,0.04228698722053027,0.12264879471062519,0.37433075243230474,0.2761100837789847,1.0,0.09736038343008398,0.30380355111970275,0.23514766607313414,-0.2965260857102911,-0.19519833017315508
Effusion,0.25170227902639425,-0.04195877243156201,0.23460735615566433,0.15279503105590064,0.07632817736036593,0.21236226825715557,0.09736038343008398,1.0,0.4032434526441481,0.06600627089361648,0.11523461693581569,0.16287615062274738
Synovitis,-0.08228129235303942,-0.11357089989904662,0.20131905799006772,0.16202833595671196,0.2381746097911157,0.34203812542066186,0.30380355111970275,0.4032434526441481,1.0,0.2059661105181463,0.08507519823292295,0.0463738895760168
Baker's,-0.08343982964941767,-0.2188945364808211,0.30987610805148735,0.28202679381817963,0.475958342957643,0.4043327696920888,0.23514766607313414,0.06600627089361648,0.2059661105181463,1.0,-0.08443356311223332,-0.15862228908893344
Contusion,0.3832322780120727,0.10670909490621276,-0.038207664146107045,-0.19033133359061688,-0.3283499056915329,-0.24396221723237466,-0.2965260857102911,0.11523461693581569,0.08507519823292295,-0.08443356311223332,1.0,0.3258379050707064
Fracture,0.2687545915907099,0.12422599874998827,0.06976953820642973,-0.01050813874985468,-0.22598239929024325,-0.13440094818164608,-0.19519833017315508,0.16287615062274738,0.0463738895760168,-0.15862228908893344,0.3258379050707064,1.0
